productId,name,productFamily,active,candidateCapabilities,relationTypes,confidence,evidence,coverageStatus,reviewReason
192,Kettlebell de Vinilo 8kg,KETTLEBELL,true,,,,,UNMODELED,
2083,Rack de Almacenamiento Mancuernas 12 pares Vertical | HWM®,STORAGE,true,,,,,NO_CAPABILITY_APPLICABLE,
1129,Par Correas de Levantamiento V-Lifting Straps Rojo | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1946,Pack Delta Pro | HWM®,,true,,,,,UNMODELED,
489,Remo Sentado V8 Series | Obelix,SELECTORIZED_MACHINE,true,ROW,DIRECT,EXPLICIT,NAME:NAME:remo sentado:NAME_ROW_EXPLICIT_V1:,UNMODELED,
311,Pack Preolímpico Iniciación | Barbell,,false,,,,,NO_CAPABILITY_APPLICABLE,
1438,Sand Bag Training 5kg | HWM®,BALL_BAG,true,,,,,UNMODELED,
486,Press de Pectoral V8 Series | Obelix,SELECTORIZED_MACHINE,true,CHEST_PRESS,DIRECT,EXPLICIT,NAME:NAME:press de pectoral:NAME_CHEST_PRESS_EXPLICIT_V1:,UNMODELED,
1035,Barra Dominadas Puerta | FullFit,BODYWEIGHT_GYMNASTICS,true,PULL_UP,DIRECT,EXPLICIT,NAME:NAME:dominadas:NAME_PULL_UP_DIRECT_EXPLICIT_V1: | TRUSTED_CATEGORY:429:Barras de Dominadas:CATEGORY_NAME_PULL_UP_DIRECT_EXPLICIT_V1:SEMANTIC_STRONG,UNMODELED,
1818,Bosu Ball | Rising,BALL_BAG,true,,,,,UNMODELED,
2092,T-Bar Row Beast | Obelix,PLATE_LOADED_MACHINE,true,,,,,UNMODELED,
1271,Aductor MO 2.0 | Obelix®,SELECTORIZED_MACHINE,true,ADDUCTOR,DIRECT,EXPLICIT,NAME:NAME:aductor:NAME_ADDUCTOR_EXPLICIT_V1:,UNMODELED,
464,Par Tenazas Olímpicas | HWM,,true,,,,,UNMODELED,
1278,Abductor MO 2.0 | Obelix®,SELECTORIZED_MACHINE,true,ABDUCTOR,DIRECT,EXPLICIT,NAME:NAME:abductor:NAME_ABDUCTOR_EXPLICIT_V1:,UNMODELED,
1492,Rack de Almacenamiento Balones Medicinales Circular | HWM®,STORAGE,true,,,,,NO_CAPABILITY_APPLICABLE,
1597,Par Correas de Levantamiento Hard 3.0 Negro | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
476,Banco Olímpico Declinado V8 Series | Obelix,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
1841,Clubbell 8kg | Rising,KETTLEBELL,true,,,,,UNMODELED,
2021,Belt Squat | Peach Builder,PLATE_LOADED_MACHINE,true,,,,,UNMODELED,SQUAT: Candidate capability is deferred from Training Semantics V1.
1808,Landmine de Suelo Accesorio Delta | HWM®,MACHINE_ATTACHMENT,true,,,,,NO_CAPABILITY_APPLICABLE,
1598,Par Correas de Levantamiento Hard 3.0 Turquesa | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
829,Par Bumper Plates Color Stripe 5kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
556,Servicio de armado tipo A-30,,true,,,,,UNMODELED,
2059,Barra Pull Ups Multigrip Pro | HWM®,BODYWEIGHT_GYMNASTICS,true,,,,,UNMODELED,
1229,Hack Squat Solid Rock | BODYTONE,PLATE_LOADED_MACHINE,true,,,,,UNMODELED,SQUAT: Candidate capability is deferred from Training Semantics V1.
1448,Banco de Abdominales + Bandas de Resistencia | Forza,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
1845,Clubbell 20kg | Rising,KETTLEBELL,true,,,,,UNMODELED,
1812,Polea Rack Lite Accesorio Delta | HWM®,CABLE_MACHINE,false,,,,,NO_CAPABILITY_APPLICABLE,
353,Pesos de Tobillo Morado 2.5kg (Par) | FullFit,,true,,,,,UNMODELED,
478,Banco Plano V8 Series | Obelix,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
1927,Pack 150kg Full Color | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
1751,Par Mancuernas de Neopreno 1kg Amarillo | FullFit,DUMBBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
